,incident_number,address,incident_type,datetime,latitude,longitude,color,icon,marker_text,neighborhood
44,F220107241,862 NW 85TH ST,Aid Response,2022-09-04 08:02:00,47.690649,-122.367509,red,ambulance,<p>Incident: F220107241</p><p>Date: 2022-09-04</p><p>Time: 08:02:00</p><p>Type: Aid Response</p>,Montlake
45,F220107244,Seaview Ave Nw / 38th Ave Nw,Aid Response,2022-09-04 08:20:00,47.672127,-122.405572,red,ambulance,<p>Incident: F220107244</p><p>Date: 2022-09-04</p><p>Time: 08:20:00</p><p>Type: Aid Response</p>,Whittier Heights
46,F220107245,1200 University St,Aid Response,2022-09-04 08:27:00,47.611943,-122.325987,red,ambulance,<p>Incident: F220107245</p><p>Date: 2022-09-04</p><p>Time: 08:27:00</p><p>Type: Aid Response</p>,Sunset Hill
47,F220107246,Nw 85th St / 8th Ave Nw,Aid Response,2022-09-04 08:30:00,47.690655,-122.365993,red,ambulance,<p>Incident: F220107246</p><p>Date: 2022-09-04</p><p>Time: 08:30:00</p><p>Type: Aid Response</p>,First Hill
48,F220107249,1726 E Olive St,Aid Response,2022-09-04 09:02:00,47.616442,-122.309805,red,ambulance,<p>Incident: F220107249</p><p>Date: 2022-09-04</p><p>Time: 09:02:00</p><p>Type: Aid Response</p>,Greenwood
49,F220107250,2870 S Hanford St,Aid Response,2022-09-04 09:04:00,47.574853,-122.295888,red,ambulance,<p>Incident: F220107250</p><p>Date: 2022-09-04</p><p>Time: 09:04:00</p><p>Type: Aid Response</p>,Stevens
50,F220107251,4401 Aurora Ave N,Aid Response,2022-09-04 09:03:00,47.660748,-122.347391,red,ambulance,<p>Incident: F220107251</p><p>Date: 2022-09-04</p><p>Time: 09:03:00</p><p>Type: Aid Response</p>,Columbia City
51,F220107252,818 Ne 106th St,Aid Response,2022-09-04 09:08:00,47.705841,-122.319275,red,ambulance,<p>Incident: F220107252</p><p>Date: 2022-09-04</p><p>Time: 09:08:00</p><p>Type: Aid Response</p>,Fremont
52,F220107253,9455 27th Ave Sw,Aid Response,2022-09-04 09:12:00,47.518178,-122.367277,red,ambulance,<p>Incident: F220107253</p><p>Date: 2022-09-04</p><p>Time: 09:12:00</p><p>Type: Aid Response</p>,Maple Leaf
53,F220107254,2008 Westlake Ave,Low Acuity Response,2022-09-04 09:34:00,47.615007,-122.337781,purple,asterisk,<p>Incident: F220107254</p><p>Date: 2022-09-04</p><p>Time: 09:34:00</p><p>Type: Low Acuity Response</p>,Roxhill
54,F220107255,640 S Massachusetts St,Auto Fire Alarm,2022-09-04 09:35:00,47.588226,-122.325476,orange,fire,<p>Incident: F220107255</p><p>Date: 2022-09-04</p><p>Time: 09:35:00</p><p>Type: Auto Fire Alarm</p>,Belltown
55,F220107256,4536 16th Ave Ne,Aid Response,2022-09-04 09:37:00,47.661582,-122.310852,red,ambulance,<p>Incident: F220107256</p><p>Date: 2022-09-04</p><p>Time: 09:37:00</p><p>Type: Aid Response</p>,Industrial District
56,F220107257,5425 Russell Ave Nw,Aid Response,2022-09-04 09:36:00,47.668049,-122.382371,red,ambulance,<p>Incident: F220107257</p><p>Date: 2022-09-04</p><p>Time: 09:36:00</p><p>Type: Aid Response</p>,University District
57,F220107258,Ne 110th St / 35th Ave Ne,Aid Response Yellow,2022-09-04 09:39:00,47.708372,-122.290762,green,ambulance,<p>Incident: F220107258</p><p>Date: 2022-09-04</p><p>Time: 09:39:00</p><p>Type: Aid Response Yellow</p>,Adams
58,F220107260,212 Alaskan Way S,Triaged Incident,2022-09-04 09:44:00,47.600591,-122.335915,red,plus-square,<p>Incident: F220107260</p><p>Date: 2022-09-04</p><p>Time: 09:44:00</p><p>Type: Triaged Incident</p>,Meadowbrook
59,F220107261,26th Ave Sw / Sw Nevada St,Rubbish Fire,2022-09-04 09:48:00,47.565449,-122.365472,orange,fire-extinguisher,<p>Incident: F220107261</p><p>Date: 2022-09-04</p><p>Time: 09:48:00</p><p>Type: Rubbish Fire</p>,Pioneer Square
60,F220107265,S Jackson St / 5th Ave S,Aid Response,2022-09-04 10:01:00,47.599195,-122.327667,red,ambulance,<p>Incident: F220107265</p><p>Date: 2022-09-04</p><p>Time: 10:01:00</p><p>Type: Aid Response</p>,North Delridge
61,F220107266,S KING ST / 8TH AVE S,Encampment Fire,2022-09-04 10:03:00,47.598348,-122.322448,purple,asterisk,<p>Incident: F220107266</p><p>Date: 2022-09-04</p><p>Time: 10:03:00</p><p>Type: Encampment Fire</p>,International District
62,F220107268,1900 5th Ave,Aid Response,2022-09-04 10:04:00,47.612958,-122.337873,red,ambulance,<p>Incident: F220107268</p><p>Date: 2022-09-04</p><p>Time: 10:04:00</p><p>Type: Aid Response</p>,International District
63,F220107273,6339 34th Ave Sw,Auto Fire Alarm,2022-09-04 10:13:00,47.546219,-122.375056,orange,fire,<p>Incident: F220107273</p><p>Date: 2022-09-04</p><p>Time: 10:13:00</p><p>Type: Auto Fire Alarm</p>,Belltown
64,F220107274,9240 2nd Ave Sw,Aid Response,2022-09-04 10:17:00,47.520451,-122.336003,red,ambulance,<p>Incident: F220107274</p><p>Date: 2022-09-04</p><p>Time: 10:17:00</p><p>Type: Aid Response</p>,High Point
65,F220107275,8542 Interlake Ave N,Low Acuity Response,2022-09-04 10:24:00,47.69078,-122.340224,purple,asterisk,<p>Incident: F220107275</p><p>Date: 2022-09-04</p><p>Time: 10:24:00</p><p>Type: Low Acuity Response</p>,Highland Park
66,F220107276,11 W Aloha St,Low Acuity Response,2022-09-04 10:26:00,47.627192,-122.356823,purple,asterisk,<p>Incident: F220107276</p><p>Date: 2022-09-04</p><p>Time: 10:26:00</p><p>Type: Low Acuity Response</p>,North College Park
67,F220107277,Dexter Ave N / Comstock St,Triaged Incident,2022-09-04 10:29:00,47.630586,-122.342296,red,plus-square,<p>Incident: F220107277</p><p>Date: 2022-09-04</p><p>Time: 10:29:00</p><p>Type: Triaged Incident</p>,Lower Queen Anne
68,F220107278,505 Ne 70th St,Auto Fire Alarm,2022-09-04 10:30:00,47.679478,-122.322726,orange,fire,<p>Incident: F220107278</p><p>Date: 2022-09-04</p><p>Time: 10:30:00</p><p>Type: Auto Fire Alarm</p>,Westlake
69,F220107279,1600 Windermere Dr E,Aid Response,2022-09-04 10:32:00,47.633465,-122.289394,red,ambulance,<p>Incident: F220107279</p><p>Date: 2022-09-04</p><p>Time: 10:32:00</p><p>Type: Aid Response</p>,Green Lake
70,F220107280,1604 11th Ave S,Low Acuity Response,2022-09-04 10:32:00,47.588512,-122.317909,purple,asterisk,<p>Incident: F220107280</p><p>Date: 2022-09-04</p><p>Time: 10:32:00</p><p>Type: Low Acuity Response</p>,Madison Park
71,F220107281,12534 Lake City Way Ne,Investigate Out Of Service,2022-09-04 10:41:00,47.719581,-122.295054,purple,asterisk,<p>Incident: F220107281</p><p>Date: 2022-09-04</p><p>Time: 10:41:00</p><p>Type: Investigate Out Of Service</p>,North Beacon Hill
72,F220107283,620 N 130th St,Aid Response,2022-09-04 10:47:00,47.723223,-122.351366,red,ambulance,<p>Incident: F220107283</p><p>Date: 2022-09-04</p><p>Time: 10:47:00</p><p>Type: Aid Response</p>,Olympic Hills
73,F220107284,910 Marion St,Aid Response,2022-09-04 10:52:00,47.607742,-122.326595,red,ambulance,<p>Incident: F220107284</p><p>Date: 2022-09-04</p><p>Time: 10:52:00</p><p>Type: Aid Response</p>,Bitter Lake
74,F220107285,4th Ave S / S Royal Brougham Way,Aid Response,2022-09-04 11:00:00,47.592394,-122.329049,red,ambulance,<p>Incident: F220107285</p><p>Date: 2022-09-04</p><p>Time: 11:00:00</p><p>Type: Aid Response</p>,First Hill
75,F220107286,6th Ave S / S Dearborn St,Aid Response,2022-09-04 11:00:00,47.595837,-122.326374,red,ambulance,<p>Incident: F220107286</p><p>Date: 2022-09-04</p><p>Time: 11:00:00</p><p>Type: Aid Response</p>,Industrial District
76,F220107287,255 S King St,Aid Response,2022-09-04 11:10:00,47.598287,-122.330894,red,ambulance,<p>Incident: F220107287</p><p>Date: 2022-09-04</p><p>Time: 11:10:00</p><p>Type: Aid Response</p>,Industrial District
77,F220107288,612 22nd Ave,Aid Response,2022-09-04 11:23:00,47.607262,-122.303776,red,ambulance,<p>Incident: F220107288</p><p>Date: 2022-09-04</p><p>Time: 11:23:00</p><p>Type: Aid Response</p>,Pioneer Square
78,F220107289,Roosevelt Way Ne / Ne 45th St,Hang-Up- Aid,2022-09-04 11:34:00,47.661299,-122.317638,purple,asterisk,<p>Incident: F220107289</p><p>Date: 2022-09-04</p><p>Time: 11:34:00</p><p>Type: Hang-Up- Aid</p>,Minor
79,F220107290,110 W Olympic Pl,Low Acuity Response,2022-09-04 11:35:00,47.626721,-122.35812,purple,asterisk,<p>Incident: F220107290</p><p>Date: 2022-09-04</p><p>Time: 11:35:00</p><p>Type: Low Acuity Response</p>,University District
80,F220107291,171 12th Ave,Nurseline/AMR,2022-09-04 11:36:00,47.603031,-122.316782,green,user-md,<p>Incident: F220107291</p><p>Date: 2022-09-04</p><p>Time: 11:36:00</p><p>Type: Nurseline/AMR</p>,Lower Queen Anne
81,F220107292,130 S Kenyon St,Auto Fire Alarm,2022-09-04 11:39:00,47.532034,-122.333373,orange,fire,<p>Incident: F220107292</p><p>Date: 2022-09-04</p><p>Time: 11:39:00</p><p>Type: Auto Fire Alarm</p>,Yesler Terrace
82,F220107293,1ST AVE / MADISON ST,Aid Response,2022-09-04 11:43:00,47.604695,-122.336238,red,ambulance,<p>Incident: F220107293</p><p>Date: 2022-09-04</p><p>Time: 11:43:00</p><p>Type: Aid Response</p>,South Park
83,F220107295,9000 Holman Rd Nw,Aid Response,2022-09-04 11:47:00,47.694721,-122.37545,red,ambulance,<p>Incident: F220107295</p><p>Date: 2022-09-04</p><p>Time: 11:47:00</p><p>Type: Aid Response</p>,Central Business District
84,F220107296,6029 6th Ave Nw,Automatic Fire Alarm Resd,2022-09-04 11:48:00,47.672606,-122.364007,red,fire,<p>Incident: F220107296</p><p>Date: 2022-09-04</p><p>Time: 11:48:00</p><p>Type: Automatic Fire Alarm Resd</p>,Crown Hill
85,F220107303,9543 Greenwood Ave N,Auto Fire Alarm,2022-09-04 12:11:00,47.698223,-122.355381,orange,fire,<p>Incident: F220107303</p><p>Date: 2022-09-04</p><p>Time: 12:11:00</p><p>Type: Auto Fire Alarm</p>,West Woodland
86,F220107305,2460 Westlake Ave N,Medic Response,2022-09-04 12:21:00,47.641206,-122.34269,red,ambulance,<p>Incident: F220107305</p><p>Date: 2022-09-04</p><p>Time: 12:21:00</p><p>Type: Medic Response</p>,Greenwood
87,F220107306,6054 2nd Ave Nw,Natural Gas Odor,2022-09-04 12:23:00,47.672887,-122.35949,green,warning,<p>Incident: F220107306</p><p>Date: 2022-09-04</p><p>Time: 12:23:00</p><p>Type: Natural Gas Odor</p>,East Queen Anne
88,F220107307,E INTERLAKEN BLVD / LAKE WASHINGTON BLVD E,Aid Response,2022-09-04 12:23:00,47.630773,-122.297248,red,ambulance,<p>Incident: F220107307</p><p>Date: 2022-09-04</p><p>Time: 12:23:00</p><p>Type: Aid Response</p>,Phinney Ridge
89,F220107308,5th Ave S / S Jackson St,Aid Response,2022-09-04 12:26:00,47.599195,-122.327667,red,ambulance,<p>Incident: F220107308</p><p>Date: 2022-09-04</p><p>Time: 12:26:00</p><p>Type: Aid Response</p>,Montlake
90,F220107310,5th Ave S / S Washington St,Aid Response,2022-09-04 12:26:00,47.600873,-122.32766,red,ambulance,<p>Incident: F220107310</p><p>Date: 2022-09-04</p><p>Time: 12:26:00</p><p>Type: Aid Response</p>,International District
91,F220107311,509 3rd Ave,Auto Fire Alarm,2022-09-04 12:29:00,47.602114,-122.330809,orange,fire,<p>Incident: F220107311</p><p>Date: 2022-09-04</p><p>Time: 12:29:00</p><p>Type: Auto Fire Alarm</p>,International District
92,F220107312,7500 East Marginal Way S,Auto Fire Alarm,2022-09-04 12:30:00,47.535372,-122.315012,orange,fire,<p>Incident: F220107312</p><p>Date: 2022-09-04</p><p>Time: 12:30:00</p><p>Type: Auto Fire Alarm</p>,Pioneer Square
93,F220107314,16th Ave Sw / Sw Holden St,MVI - Motor Vehicle Incident,2022-09-04 12:37:00,47.53368,-122.355032,green,car,<p>Incident: F220107314</p><p>Date: 2022-09-04</p><p>Time: 12:37:00</p><p>Type: MVI - Motor Vehicle Incident</p>,Georgetown
94,F220107315,610 27th Ave E,Medic Response- 7 per Rule,2022-09-04 12:42:00,47.624443,-122.297688,purple,asterisk,<p>Incident: F220107315</p><p>Date: 2022-09-04</p><p>Time: 12:42:00</p><p>Type: Medic Response- 7 per Rule</p>,Highland Park
95,F220107316,620 Terry Ave,Aid Response,2022-09-04 12:42:00,47.606157,-122.323768,red,ambulance,<p>Incident: F220107316</p><p>Date: 2022-09-04</p><p>Time: 12:42:00</p><p>Type: Aid Response</p>,Stevens
96,F220107317,108 2nd Ave Et S,Medic Response,2022-09-04 12:46:00,47.598477,-122.329021,red,ambulance,<p>Incident: F220107317</p><p>Date: 2022-09-04</p><p>Time: 12:46:00</p><p>Type: Medic Response</p>,First Hill
97,F220107318,4750 Roosevelt Way Ne,Medic Response,2022-09-04 12:47:00,47.663417,-122.31742,red,ambulance,<p>Incident: F220107318</p><p>Date: 2022-09-04</p><p>Time: 12:47:00</p><p>Type: Medic Response</p>,Pioneer Square
98,F220107319,115 Warren Ave N,Triaged Incident,2022-09-04 12:48:00,47.618764,-122.354146,red,plus-square,<p>Incident: F220107319</p><p>Date: 2022-09-04</p><p>Time: 12:48:00</p><p>Type: Triaged Incident</p>,University District
99,F220107320,1010 Nw 67th St,Low Acuity Response,2022-09-04 12:52:00,47.677778,-122.369901,purple,asterisk,<p>Incident: F220107320</p><p>Date: 2022-09-04</p><p>Time: 12:52:00</p><p>Type: Low Acuity Response</p>,Lower Queen Anne
100,F220107321,2622 California Ave Sw,Aid Response,2022-09-04 12:52:00,47.580763,-122.386563,red,ambulance,<p>Incident: F220107321</p><p>Date: 2022-09-04</p><p>Time: 12:52:00</p><p>Type: Aid Response</p>,Whittier Heights
101,F220107323,9061 Seward Park Ave S,Aid Response,2022-09-04 12:56:00,47.521679,-122.264284,red,ambulance,<p>Incident: F220107323</p><p>Date: 2022-09-04</p><p>Time: 12:56:00</p><p>Type: Aid Response</p>,North Admiral
102,F220107324,4139 55th Ave Sw,Aid Response,2022-09-04 12:58:00,47.566511,-122.402886,red,ambulance,<p>Incident: F220107324</p><p>Date: 2022-09-04</p><p>Time: 12:58:00</p><p>Type: Aid Response</p>,Dunlap
103,F220107325,M L King Jr Way S / S Fairbanks St,MVI - Motor Vehicle Incident,2022-09-04 13:06:00,47.522587,-122.279418,green,car,<p>Incident: F220107325</p><p>Date: 2022-09-04</p><p>Time: 13:06:00</p><p>Type: MVI - Motor Vehicle Incident</p>,Alki
104,F220107326,7524 35th Ave Sw,Aid Response,2022-09-04 13:09:00,47.535284,-122.376607,red,ambulance,<p>Incident: F220107326</p><p>Date: 2022-09-04</p><p>Time: 13:09:00</p><p>Type: Aid Response</p>,South Beacon Hill
105,F220107329,326 9th Ave,Nurseline/AMR,2022-09-04 13:18:00,47.603593,-122.322954,green,user-md,<p>Incident: F220107329</p><p>Date: 2022-09-04</p><p>Time: 13:18:00</p><p>Type: Nurseline/AMR</p>,Roxhill
106,F220107330,1414 Nw Norcross Way,Vault Fire (Electrical),2022-09-04 13:32:00,47.707902,-122.375164,purple,asterisk,<p>Incident: F220107330</p><p>Date: 2022-09-04</p><p>Time: 13:32:00</p><p>Type: Vault Fire (Electrical)</p>,Yesler Terrace
107,F220107331,4026 Latona Ave Ne,Aid Response,2022-09-04 13:38:00,47.655895,-122.325688,red,ambulance,<p>Incident: F220107331</p><p>Date: 2022-09-04</p><p>Time: 13:38:00</p><p>Type: Aid Response</p>,North Beach - Blue Ridge
108,F220107332,14002 Linden Ave N,Low Acuity Response,2022-09-04 13:40:00,47.730569,-122.347758,purple,asterisk,<p>Incident: F220107332</p><p>Date: 2022-09-04</p><p>Time: 13:40:00</p><p>Type: Low Acuity Response</p>,Wallingford
109,F220107333,5824 Princeton Ave Ne,Aid Response,2022-09-04 13:47:00,47.67211,-122.275039,red,ambulance,<p>Incident: F220107333</p><p>Date: 2022-09-04</p><p>Time: 13:47:00</p><p>Type: Aid Response</p>,Bitter Lake
110,F220107346,1700 17th Ave,Nurseline/AMR,2022-09-04 14:31:00,47.616443,-122.310151,green,user-md,<p>Incident: F220107346</p><p>Date: 2022-09-04</p><p>Time: 14:31:00</p><p>Type: Nurseline/AMR</p>,Windermere
111,F220107347,12527 37th Ave Ne,Aid Response,2022-09-04 14:31:00,47.719429,-122.288533,red,ambulance,<p>Incident: F220107347</p><p>Date: 2022-09-04</p><p>Time: 14:31:00</p><p>Type: Aid Response</p>,Stevens
112,F220107348,Lake Washington Blvd E / Mcgilvra Blvd E,Investigate Out Of Service,2022-09-04 14:34:00,47.621244,-122.283072,purple,asterisk,<p>Incident: F220107348</p><p>Date: 2022-09-04</p><p>Time: 14:34:00</p><p>Type: Investigate Out Of Service</p>,Cedar Park
